SPK11c	num1areaSel	num1perimSel	num1radSel	num1sel	num2areaSel	num2perimSel	num2radSel	num2sel	num3areaSel	num3perimSel	num3radSel	num3sel	num4areaSel	num4perimSel	num4radSel	num4sel	num5areaSel	num5perimSel	num5radSel	num5sel	numAllSel
1.394125	15.462400	75.476400	102.992000	15.462400	92.993400	37.947400	30.450400	30.450400	90.492400	45.465400	13.044400	13.044400	57.959400	17.949400	140.507000	17.949400	42.964400	22.945400	135.511000	22.945400	13.044400
1.422000	20.444400	173.026000	178.043000	20.444400	120.509000	60.481400	65.477400	37.947400	100.498000	87.997400	67.979400	45.465400	95.495400	55.464400	148.026000	55.464400	150.527000	80.479400	180.545000	42.964400	15.462400
3.495400	82.980400	183.039000	223.077000	75.476400	523.232000	70.480400	105.494000	60.481400	215.558000	200.556000	123.011000	67.979400	238.072000	128.007000	155.523000	57.959400	220.561000	138.013000	190.544000	80.479400	17.949400
3.619000	107.995000	268.089000	273.092000	82.980400	648.313000	97.996400	395.671000	65.477400	218.060000	255.589000	158.024000	87.997400	428.183000	153.028000	230.574000	95.495400	283.105000	160.526000	260.592000	135.511000	20.444400
5.472250	168.023000	300.608000	323.122000	102.992000	658.312000	308.106000	463.204000	70.480400	233.076000	258.090000	208.061000	90.492400	453.205000	305.604000	325.623000	128.007000	295.605000	270.591000	275.608000	138.013000	22.945400
6.612700	263.093000	418.184000	433.186000	107.995000	683.326000	565.764000	528.249000	92.993400	240.573000	393.170000	243.074000	100.498000	500.719000	408.172000	420.686000	140.507000	465.698000	503.221000	285.606000	150.527000	30.450400
6.622000	293.104000	530.730000	495.716000	168.023000	690.845000	568.266000	545.753000	97.996400	475.718000	400.667000	265.588000	123.011000	525.748000	538.248000	430.685000	148.026000	573.269000	533.252000	410.666000	160.526000	37.947400
6.644925	425.689000	558.267000	700.844000	173.026000	710.843000	578.279000	560.768000	105.494000	540.750000	685.828000	310.621000	158.024000	535.747000	663.315000	633.297000	153.028000	643.317000	583.282000	448.202000	180.545000	42.964400
6.924025	468.200000	585.783000	750.880000	178.043000	718.361000	635.812000	653.316000	120.509000	715.846000	740.860000	460.703000	200.556000	543.251000	743.362000	640.815000	155.523000	680.832000	650.814000	470.701000	190.544000	45.465400
7.001525	563.263000	670.833000	758.378000	183.039000	810.908000	783.392000	655.817000	308.106000	735.864000	748.379000	548.247000	208.061000	593.280000	820.907000	708.348000	230.574000	720.842000	673.328000	478.220000	220.561000	55.464400
7.085025	570.767000	675.829000	763.381000	223.077000	848.424000	880.943000	668.332000	395.671000	753.375000	823.409000	580.780000	215.558000	630.796000	830.927000	713.365000	238.072000	785.894000	698.342000	488.219000	260.592000	57.959400
9.224750	595.782000	890.956000	780.891000	263.093000	913.476000	888.454000	678.330000	463.204000	790.890000	855.942000	645.811000	218.060000	660.813000	853.427000	733.363000	305.604000	858.443000	773.393000	513.233000	270.591000	60.481400
9.880750	638.314000	903.456000	850.925000	268.089000	950.991000	928.471000	755.876000	523.232000	818.406000	895.958000	770.878000	233.076000	688.343000	988.520000	768.377000	325.623000	920.973000	840.926000	575.763000	275.608000	65.477400
10.243175	665.816000	930.993000	860.938000	273.092000	953.492000	968.508000	760.879000	528.249000	845.922000	925.976000	815.911000	240.573000	695.848000	1036.030000	775.895000	408.172000	938.490000	843.428000	723.364000	283.105000	67.979400
10.595375	738.359000	996.024000	933.488000	293.104000	973.504000	1083.570000	765.875000	545.753000	883.458000	1028.540000	885.960000	243.074000	745.877000	1108.580000	991.007000	420.686000	943.486000	898.460000	825.910000	285.606000	70.480400
11.637700	828.412000	1006.020000	960.990000	300.608000	1001.020000	1091.070000	908.459000	560.768000	1003.520000	1128.600000	893.457000	255.589000	778.396000	1171.730000	1048.560000	428.183000	981.002000	971.003000	878.441000	295.605000	75.476400
11.734725	865.941000	1033.540000	1041.050000	323.122000	1071.060000	1136.100000	1026.040000	565.764000	1056.050000	1186.750000	915.970000	258.090000	838.425000	1209.270000	1051.050000	430.685000	993.523000	998.519000	905.957000	410.666000	80.479400
11.742575	958.488000	1058.550000	1086.070000	418.184000	1201.750000	1191.750000	1073.570000	568.266000	1061.060000	1199.250000	918.472000	265.588000	863.439000	1441.890000	1053.550000	453.205000	1023.540000	1038.540000	935.989000	448.202000	82.980400
12.328850	1031.040000	1113.590000	1103.570000	425.689000	1559.460000	1214.260000	1184.250000	578.279000	1179.250000	1216.770000	923.475000	310.621000	900.954000	1459.410000	1078.570000	500.719000	1101.070000	1098.590000	1289.320000	465.698000	87.997400
14.032150	1043.540000	1319.310000	1106.070000	433.186000	1647.000000	1224.260000	1204.270000	635.812000	1206.770000	1409.380000	955.987000	393.170000	910.974000	1541.940000	1096.080000	525.748000	1196.750000	1131.100000	1334.330000	470.701000	90.492400
