SPK15b	num1areaSel	num1perimSel	num1radSel	num1sel	num2areaSel	num2perimSel	num2radSel	num2sel	num3areaSel	num3perimSel	num3radSel	num3sel	num4areaSel	num4perimSel	num4radSel	num4sel	num5areaSel	num5perimSel	num5radSel	num5sel	numAllSel
0.082275	46.591100	19.061100	16.573000	16.573000	49.092100	104.104000	44.075000	44.075000	31.575100	34.077100	36.571100	31.575100	26.572100	41.574100	51.594100	26.572100	29.074100	14.058100	11.556100	11.556100	11.556100
0.208675	66.589100	39.072000	59.091100	19.061100	99.122100	111.622000	121.621000	49.092100	89.109000	54.088100	101.623000	34.077100	71.605100	94.105100	64.087100	41.574100	144.141000	96.606000	56.590000	14.058100	14.058100
0.391175	81.604100	69.090100	76.608100	39.072000	116.625000	271.702000	151.639000	99.122100	134.135000	86.607100	201.668000	36.571100	79.103000	124.122000	371.768000	51.594100	179.169000	239.204000	126.638000	29.074100	16.573000
0.417800	84.106000	164.153000	149.137000	46.591100	161.651000	341.750000	206.671000	104.104000	141.640000	119.119000	219.185000	54.088100	106.619000	216.684000	396.783000	64.087100	196.672000	246.701000	204.183000	56.590000	19.061100
0.782850	114.123000	426.800000	159.157000	59.091100	334.232000	436.799000	209.172000	111.622000	174.173000	281.715000	354.251000	86.607100	169.156000	366.751000	409.283000	71.605100	294.215000	279.220000	211.688000	96.606000	26.572100
1.085500	139.138000	439.294000	166.654000	66.589100	349.248000	469.311000	221.687000	116.625000	181.670000	291.714000	494.326000	89.109000	251.704000	401.779000	506.847000	79.103000	491.832000	364.250000	404.280000	126.638000	29.074100
1.094650	171.657000	526.845000	339.249000	69.090100	411.778000	514.345000	249.203000	121.621000	214.189000	301.720000	536.858000	101.623000	264.205000	511.829000	629.406000	94.105100	509.342000	414.279000	471.813000	144.141000	31.575100
1.230825	236.702000	569.377000	344.252000	76.608100	654.427000	521.842000	351.749000	151.639000	244.200000	356.752000	564.374000	119.119000	541.861000	544.362000	751.992000	106.619000	529.347000	424.278000	486.829000	179.169000	34.077100
1.234825	441.795000	596.893000	381.767000	81.604100	706.958000	646.923000	374.249000	161.651000	269.201000	576.875000	616.912000	134.135000	546.864000	574.380000	822.019000	124.122000	534.364000	434.298000	571.879000	196.672000	36.571100
1.550425	531.848000	699.440000	406.782000	84.106000	711.954000	669.422000	376.764000	206.671000	289.219000	584.379000	787.005000	141.640000	586.894000	641.927000	867.038000	169.156000	621.908000	609.394000	614.390000	204.183000	39.072000
2.091575	539.360000	769.488000	484.313000	114.123000	729.457000	701.955000	399.284000	209.172000	379.252000	591.890000	824.520000	174.173000	606.892000	877.051000	937.086000	216.684000	764.492000	644.428000	631.907000	211.688000	41.574100
2.312575	799.506000	797.004000	619.407000	139.138000	736.976000	749.490000	566.876000	221.687000	389.264000	666.928000	922.085000	181.670000	671.937000	902.066000	942.082000	251.704000	804.522000	704.443000	849.535000	239.204000	44.075000
2.525825	817.023000	837.021000	709.460000	149.137000	741.972000	917.068000	594.392000	249.203000	489.330000	802.021000	1022.130000	201.668000	714.456000	987.116000	1044.650000	264.205000	819.517000	739.470000	1027.130000	246.701000	46.591100
2.728550	834.519000	864.537000	716.957000	159.157000	844.518000	952.102000	681.943000	271.702000	504.346000	809.518000	1059.650000	214.189000	847.033000	994.613000	1057.150000	366.751000	892.053000	766.986000	1047.150000	279.220000	49.092100
2.775800	934.585000	899.571000	779.508000	164.153000	1037.150000	989.617000	947.085000	334.232000	579.376000	894.568000	1170.540000	219.185000	1205.560000	1039.650000	1067.160000	371.768000	939.581000	1148.030000	1104.680000	294.215000	51.594100
2.867125	944.584000	1054.650000	789.507000	166.654000	1049.650000	992.119000	1004.620000	341.750000	684.438000	1220.580000	1325.620000	244.200000	1213.060000	1175.550000	1124.700000	396.783000	1024.630000	1195.560000	1145.530000	364.250000	54.088100
2.933875	1097.180000	1084.670000	807.024000	171.657000	1099.680000	1002.120000	1007.110000	349.248000	744.487000	1253.080000	1335.630000	269.201000	1240.580000	1258.100000	1185.550000	401.779000	1069.660000	1230.580000	1190.560000	404.280000	56.590000
2.946650	1119.680000	1153.030000	862.035000	236.702000	1183.040000	1072.170000	1042.150000	351.749000	754.486000	1393.150000	1353.140000	281.715000	1303.110000	1535.750000	1263.090000	409.283000	1163.050000	1318.120000	1260.590000	414.279000	59.091100
2.954625	1180.540000	1173.050000	882.054000	339.249000	1233.070000	1082.170000	1102.180000	374.249000	889.552000	1408.170000	1488.220000	289.219000	1375.660000	1583.270000	1493.220000	506.847000	1278.090000	1373.160000	1280.610000	424.278000	64.087100
3.383225	1248.080000	1298.110000	904.553000	344.252000	1295.610000	1094.680000	1112.180000	376.764000	1275.590000	1415.690000	1563.250000	291.714000	1385.660000	1598.280000	1505.730000	511.829000	1310.630000	1380.650000	1345.640000	434.298000	66.589100
3.429200	1270.600000	1365.660000	919.569000	381.767000	1333.130000	1238.080000	1255.590000	399.284000	1288.090000	1425.690000	1628.300000	301.720000	1398.170000	1608.290000	1530.760000	541.861000	1313.130000	1413.170000	1410.670000	471.813000	69.090100
3.588400	1273.090000	1388.160000	1127.200000	406.782000	1368.160000	1420.690000	1355.640000	411.778000	1308.120000	1445.710000		354.251000	1495.720000	1615.780000		544.362000	1330.620000	1498.220000	1455.700000	486.829000	71.605100
3.656025	1430.690000	1418.180000	1150.530000	426.800000	1468.200000	1475.720000	1383.150000	436.799000	1315.620000	1458.210000		356.752000	1550.750000			546.864000	1428.190000	1548.250000	1465.700000	491.832000	76.608100
3.799150	1460.710000	1560.750000	1193.060000	439.294000	1483.220000	1570.770000	1485.720000	469.311000	1348.140000	1590.770000		379.252000	1600.780000			574.380000	1580.770000	1568.250000	1538.250000	509.342000	79.103000
3.971150	1528.250000	1573.270000	1210.560000	441.795000	1545.750000	1603.280000	1508.240000	514.345000	1360.660000			389.264000				586.894000	1625.800000		1605.790000	529.347000	81.604100
4.082325	1555.750000		1283.110000	484.313000	1578.270000		1510.740000	521.842000	1378.160000			489.330000				606.892000			1610.780000	534.364000	84.106000
4.208425			1300.610000	526.845000			1533.250000	566.876000	1403.170000			494.326000				629.406000			1620.800000	571.879000	86.607100
